african emigrant	Piéride du cassier, africain jaune (Catops
african fish eagle	Pygargue vocifère
african ground nut	Vigna subterranea ^([1]), le pois bambara
african migrant	Piéride du cassier, africain jaune (Catops
african nutmeg	Arbre d’Afrique tropicale, Monodora myrist; Racine de Monodora myristica, utilis
african oak	Iroko, chêne d’Afrique, doussié, teck d’Af
african penguin	Manchot du Cap (oiseau)
african sign	Sorte de magie, de maléfice
african sleeping sickness	maladie du sommeil, trypanosomiase africai
african teak	Iroko, chêne d’Afrique, teck d’Afrique, te
african trypanosomiasis	maladie du sommeil, trypanosomiase africai
african wild dog	Lycaon, le lycaon
african wildcat	Chat sauvage d’Afrique (Felis lybica)
africanised honey bee	Abeille tueuse
after a fashion	Tant bien que mal
after all	Après tout, en effet
after dark	À la nuit tombée
aga cooker	Cuisinière de la marque suédoise AGA
against all better judgment	En dépit du bon sens
against the law	Illégal; Illégalement
age limit	Limite d’âge
age of enlightenment	Siècle des Lumières
age set	classe d’âge
ageing management	Gestion du vieillissement
agency fee	Commission de gestion
agenda setting	Façonnage de l’actualité
agent provocateur	Provocateur
aggravating failure	Aggravant unique
aggressive accounting	Comptabilité flatteuse
agile gracile opossum	Petit opossum-souris agile (Gracilinanus a
aging management	Gestion du vieillissement
agouti gene	Gène agouti
agricultural drought	Sécheresse agricole
agricultural exhibition	Exposition agricole, foire agricole
agricultural product	Produit agricole
agricultural school	École d’agriculture
agricultural technology	Technique agricole de pointe
ahead of	Devant; Avant
ai cannibalism	Perte d’efficacité que peut subir un modèl
ai for brown	Intelligence artificielle utilisée pour ré
aided recall test	Test de mémorisation assistée
aim at	Avoir pour but, viser, cibler quelqu’un ou; “to aim a gun at somebody” : « braqu
aim for	Avoir pour but, viser
air ball	Air ball
air base	Base aérienne
air bed	Matelas pneumatique
air brake	Aérofrein
air bridge	Pont aérien
air conditioner	Climatiseur
air conditioning	Climatisation
air duct	Bouche d'aération
air filter	Filtre à air
air fleet	Flotte aérienne
air force	Force aérienne; Sauce; Armée de l’air
air force base	Base aérienne
air force station	Base aérienne
air fryer	Friteuse à air chaud : appareil destiné à
air grid	Grille d’aération
air guitar	Guitare invisible
air gunner	Quelque chose de stupéfiant, d’ahurissant
air hostess	Hôtesse de l’air, agente de bord
air independent propulsion	Propulsion anaérobie
air letter	Aérogramme
air marshal	Synonyme de sky marshal; Rang équivalent de général de division aér
air out	Aérer
air pocket	Trou d’air, poche d’air; Poche d’air
air pollution	Pollution atmosphérique
air pressure	Pression atmosphérique
air print	Copie d’antenne
air raid	Attaque aérienne
air refueling	Ravitaillement en vol
air resistance	Résistance à l’air
air terminal	Aérogare
air time	Temps d’antenne, temps d’émission; Air time
air traffic controller	Contrôleur aérien
air valve	Valve, reniflard, ventouse, purge
